Week,Date,VisTm,HomeTm,Time
Pre1,8-Aug,Indianapolis Colts,Buffalo Bills,7:00 PM
Pre1,8-Aug,New York Jets,New York Giants,7:00 PM
Pre1,8-Aug,Washington Redskins,Cleveland Browns,7:30 PM
Pre1,8-Aug,New England Patriots,Detroit Lions,7:30 PM
Pre1,8-Aug,Atlanta Falcons,Miami Dolphins,7:30 PM
Pre1,8-Aug,Tennessee Titans,Philadelphia Eagles,7:30 PM
Pre1,8-Aug,Jacksonville Jaguars,Baltimore Ravens,7:30 PM
Pre1,8-Aug,Carolina Panthers,Chicago Bears,8:00 PM
Pre1,8-Aug,Houston Texans,Green Bay Packers,8:00 PM
Pre1,8-Aug,Los Angeles Chargers,Arizona Cardinals,10:00 PM
Pre1,8-Aug,Denver Broncos,Seattle Seahawks,10:00 PM
Pre1,9-Aug,Tampa Bay Buccaneers,Pittsburgh Steelers,7:30 PM
Pre1,9-Aug,Minnesota Vikings,New Orleans Saints,8:00 PM
Pre1,10-Aug,Cincinnati Bengals,Kansas City Chiefs,8:00 PM
Pre1,10-Aug,Los Angeles Rams,Oakland Raiders,8:00 PM
Pre1,10-Aug,Dallas Cowboys,San Francisco 49ers,9:00 PM
Pre2,15-Aug,Philadelphia Eagles,Jacksonville Jaguars,7:00 PM
Pre2,15-Aug,New York Jets,Atlanta Falcons,7:30 PM
Pre2,15-Aug,Green Bay Packers,Baltimore Ravens,7:30 PM
Pre2,15-Aug,Cincinnati Bengals,Washington Redskins,7:30 PM
Pre2,15-Aug,Oakland Raiders,Arizona Cardinals,8:00 PM
Pre2,16-Aug,Buffalo Bills,Carolina Panthers,7:00 PM
Pre2,16-Aug,Chicago Bears,New York Giants,7:30 PM
Pre2,16-Aug,Miami Dolphins,Tampa Bay Buccaneers,7:30 PM
Pre2,17-Aug,Cleveland Browns,Indianapolis Colts,4:00 PM
Pre2,17-Aug,New England Patriots,Tennessee Titans,7:00 PM
Pre2,17-Aug,Dallas Cowboys,Los Angeles Rams,7:00 PM
Pre2,17-Aug,Kansas City Chiefs,Pittsburgh Steelers,7:30 PM
Pre2,17-Aug,Detroit Lions,Houston Texans,8:00 PM
Pre2,18-Aug,New Orleans Saints,Los Angeles Chargers,4:00 PM
Pre2,18-Aug,Seattle Seahawks,Minnesota Vikings,8:00 PM
Pre2,19-Aug,San Francisco 49ers,Denver Broncos,8:00 PM
Pre3,22-Aug,New York Giants,Cincinnati Bengals,7:00 PM
Pre3,22-Aug,Washington Redskins,Atlanta Falcons,7:30 PM
Pre3,22-Aug,Carolina Panthers,New England Patriots,7:30 PM
Pre3,22-Aug,Baltimore Ravens,Philadelphia Eagles,7:30 PM
Pre3,22-Aug,Jacksonville Jaguars,Miami Dolphins,8:00 PM
Pre3,22-Aug,Green Bay Packers,Oakland Raiders,8:00 PM
Pre3,23-Aug,Cleveland Browns,Tampa Bay Buccaneers,7:30 PM
Pre3,23-Aug,Buffalo Bills,Detroit Lions,8:00 PM
Pre3,24-Aug,Arizona Cardinals,Minnesota Vikings,1:00 PM
Pre3,24-Aug,Chicago Bears,Indianapolis Colts,7:00 PM
Pre3,24-Aug,Houston Texans,Dallas Cowboys,7:00 PM
Pre3,24-Aug,New Orleans Saints,New York Jets,7:30 PM
Pre3,24-Aug,San Francisco 49ers,Kansas City Chiefs,8:00 PM
Pre3,24-Aug,Denver Broncos,Los Angeles Rams,9:00 PM
Pre3,24-Aug,Seattle Seahawks,Los Angeles Chargers,10:00 PM
Pre3,25-Aug,Pittsburgh Steelers,Tennessee Titans,8:00 PM
Pre4,29-Aug,Minnesota Vikings,Buffalo Bills,7:00 PM
Pre4,29-Aug,Pittsburgh Steelers,Carolina Panthers,7:00 PM
Pre4,29-Aug,Indianapolis Colts,Cincinnati Bengals,7:00 PM
Pre4,29-Aug,Atlanta Falcons,Jacksonville Jaguars,7:00 PM
Pre4,29-Aug,Philadelphia Eagles,New York Jets,7:00 PM
Pre4,29-Aug,Detroit Lions,Cleveland Browns,7:30 PM
Pre4,29-Aug,New York Giants,New England Patriots,7:30 PM
Pre4,29-Aug,Baltimore Ravens,Washington Redskins,7:30 PM
Pre4,29-Aug,Tennessee Titans,Chicago Bears,8:00 PM
Pre4,29-Aug,Tampa Bay Buccaneers,Dallas Cowboys,8:00 PM
Pre4,29-Aug,Kansas City Chiefs,Green Bay Packers,8:00 PM
Pre4,29-Aug,Los Angeles Rams,Houston Texans,8:00 PM
Pre4,29-Aug,Miami Dolphins,New Orleans Saints,8:00 PM
Pre4,29-Aug,Arizona Cardinals,Denver Broncos,9:00 PM
Pre4,29-Aug,Oakland Raiders,Seattle Seahawks,10:00 PM
Pre4,29-Aug,Los Angeles Chargers,San Francisco 49ers,10:00 PM
